role,path,exists,size_bytes,sha256,evidence_type,modified_utc
fluidx3d_output_u-000001000.vtk,E:\citylbm_buildchain\FluidX3D\output\u-000001000.vtk,True,21805638,d07da8166150a4ec4a2e6423f8cc89b1e97b7aeb43ff69fd208962d829a7dcdd,newly_run,2026-08-01T10:39:47.418583+00:00
fluidx3d_output_u-000002000.vtk,E:\citylbm_buildchain\FluidX3D\output\u-000002000.vtk,True,21805638,0ef027e5a52ff8f174abbc099bacce7369a50bd951301bd21298db1670ac5f35,newly_run,2026-08-01T10:39:47.903010+00:00
