No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
44,83.000000,39.000000,2.000000,0.46000000,0.09737243,0.00392316,2,0.09737243,0.09737243,0.09737243,0.10367674,2,0,0,19
45,120.500000,56.500000,2.000000,0.20000000,0.25036516,0.01008727,0,0.22950773,0.25036516,0.22950773,0.27589921,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.00000000,0.00000000,4,0.16291735,0.00000000,0.29889244,0.00000000,4,1,3,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.01199793,0.00048340,4,0.02984012,0.01599724,0.02984012,0.00494156,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.35164138,0.01416771,0,0.35164138,0.35164138,0.35164138,0.34256238,0,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.23422217,0.00943686,2,0.27344727,0.28827344,0.27344727,0.23014957,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.06401582,0.00257921,6,0.08535443,0.08535443,0.08535443,0.07613289,6,0,0,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.53665224,0.02162183,0,0.52177987,0.53665224,0.52177987,0.52309659,0,0,0,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.30608325,0.01233216,0,0.33899468,0.30608325,0.33899468,0.26646549,0,0,0,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.12734099,0.00513060,4,0.25079969,0.25468198,0.25079969,0.07421890,4,0,0,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.43690554,0.01760302,0,0.38733161,0.43690554,0.38733161,0.43658371,0,0,0,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.35337890,0.01423771,0,0.44804627,0.35337890,0.44804627,0.35357798,0,0,0,19
