sampling_mode,claim_boundary,n,mae_pp,rmse_pp,bias_pp,r2,pearson,pred_mean,official_mean,paper_claim_readiness
raw_trilinear,formal,80,23.971843825,29.095178133305044,-20.833386100000002,-2.3117684387292763,0.07178905100069646,0.214166140375,0.422500001375,formal_gate_input
nearest_valid,diagnostic,80,21.918158025,26.61975164655538,-15.360228075,-1.7722086908648151,0.05764348951650028,0.268897720625,0.422500001375,limitations_diagnostic_only
fluid_weighted,diagnostic,80,21.728200124999997,26.666558297575328,-17.19112035,-1.7819662487736045,0.05074428157362548,0.250588797875,0.422500001375,limitations_diagnostic_only
vertical_valid_above,diagnostic,80,21.356156087499997,25.96272088493654,-15.9222300125,-1.6370497969594653,0.11812730764041736,0.26327770125,0.422500001375,limitations_diagnostic_only
z_plus_half,diagnostic,80,21.216872,25.910396754046573,-17.528846425,-1.6264313183665555,0.18706804755605488,0.24721153712500002,0.422500001375,limitations_diagnostic_only
