No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
22,-114.5,-8.0,2.0,0.58999996,0.16242976,42.757020000000004,0.29046717,29.953279,0.20703707,38.296289,12.803741000000002,1.6668167667984541,1.6668167667984541,2,moderate,2.0,1,92.25,245.5,1.5,92,245,1,0.25,0.5,0.5,1.0,3.0,True
23,-90.5,8.0,2.0,0.54000004,0.15774745,38.225259,0.23727726,30.272278000000004,0.23967195,30.032809000000004,7.952980999999998,4.519069299421852,4.519069299421852,2,moderate,2.0,1,104.25,253.5,1.5,104,253,1,0.25,0.5,0.5,1.0,3.0,True
24,-56.0,33.0,2.0,0.46,0.19116407,26.883593000000005,0.19875002,26.124997999999998,0.19672022,26.327978,0.7585950000000063,13.929998858780463,13.929998858780463,0,low,2.0,1,121.5,266.0,1.5,121,266,1,0.5,0.0,0.5,1.0,3.0,True
25,-51.0,22.0,2.0,0.52,0.38581118,13.418882000000004,0.40188512,11.811488000000004,0.42584889,9.415111000000003,1.6073940000000009,8.728176603457108,8.728176603457108,0,low,2.0,1,124.0,260.5,1.5,124,260,1,0.0,0.5,0.5,1.0,3.0,True
26,-46.5,11.0,2.0,0.55,0.35554295,19.445705000000004,0.37434675,17.565325000000005,0.3721661,17.783390000000004,1.8803799999999982,8.811545727997549,8.811545727997549,0,low,2.0,1,126.25,255.0,1.5,126,255,1,0.25,0.0,0.5,1.0,3.0,True
27,-39.0,16.0,2.0,0.48,0.19027389,28.972610999999997,0.24246039,23.753960999999997,0.15827181,32.172819,5.218649999999999,2.4757432467556333,2.4757906461416175,2,moderate,2.0,1,130.0,257.5,1.5,130,257,1,0.0,0.5,0.5,1.0,3.0,True
28,-39.5,-4.0,2.0,0.71,0.39362757,31.637242999999998,0.38216641,32.783359,0.48751537,22.248462999999997,-1.146115999999997,9.72674469162805,9.726924829061598,0,low,2.0,1,129.75,247.5,1.5,129,247,1,0.75,0.5,0.5,1.0,3.0,True
29,-32.0,0.0,2.0,0.61,0.54752525,6.247475000000002,0.55303798,5.696201999999994,0.56847404,4.152595999999997,0.5512730000000077,2.4685814073920707,2.4685814073920707,0,low,2.0,1,133.5,249.5,1.5,133,249,1,0.5,0.5,0.5,1.0,3.0,True
30,-39.0,-11.0,2.0,0.69,0.18938433,50.061567,0.22265927,46.734072999999995,0.22265927,46.734072999999995,3.3274939999999975,9.561895866537139,9.562559464815106,2,moderate,2.0,1,130.0,244.0,1.5,130,244,1,0.0,0.0,0.5,1.0,3.0,True
31,6.5,52.0,2.0,0.44,0.09889764,34.110236,0.19779528,24.220472,0.21251585,22.748415,9.889763999999998,2.4716284427114243,2.4716284427114243,4,high,2.0,1,152.75,275.5,1.5,152,275,1,0.75,0.5,0.5,1.0,3.0,True
32,65.5,74.5,2.0,0.54000004,0.20961041,33.038962999999995,0.29270214,24.72979,0.3174933,22.250674000000004,8.309172999999998,6.05998762890652,6.05998762890652,2,moderate,2.0,1,182.25,286.75,1.5,182,286,1,0.25,0.75,0.5,1.0,3.0,True
33,73.5,56.5,2.0,0.52,0.52939261,0.9392610000000023,0.65077595,13.077594999999997,0.71291572,19.291572000000002,-12.138333999999995,7.003204790634051,7.003204790634051,0,low,2.0,1,186.25,277.75,1.5,186,277,1,0.25,0.75,0.5,1.0,3.0,True
34,-117.5,-32.0,2.0,0.32,0.43110631,11.110630999999998,0.44318628,12.318627999999999,0.48473555,16.473555,-1.2079969999999995,4.385652759282245,4.385652759282245,0,low,2.0,1,90.75,233.5,1.5,90,233,1,0.75,0.5,0.5,1.0,3.0,True
35,-86.5,-35.5,2.0,0.5,0.39907543,10.092457,0.37912855,12.087145,0.39129176,10.870824,-1.994688,4.034521097815645,4.034521097815645,0,low,2.0,1,106.25,231.75,1.5,106,231,1,0.25,0.75,0.5,1.0,3.0,True
36,-75.0,-31.5,2.0,0.32,0.42693671,10.693670999999998,0.45016725,13.016725000000001,0.46013776,14.013776,-2.323054000000002,3.5148049807961224,3.5148049807961224,0,low,2.0,1,112.0,233.75,1.5,112,233,1,0.0,0.75,0.5,1.0,3.0,True
37,-55.5,-23.0,2.0,0.48,0.31255821,16.744179,0.3192025,16.079749999999997,0.31472952,16.527048,0.6644289999999997,5.616001171834975,5.616001171834975,0,low,2.0,1,121.75,238.0,1.5,121,238,1,0.75,0.0,0.5,1.0,3.0,True
38,-26.0,-10.0,2.0,0.61,0.11995387,49.004613,0.15605905,45.394095,0.13615405,47.384595,3.610517999999996,4.817435055413306,4.817435055413306,2,moderate,2.0,1,136.5,244.5,1.5,136,244,1,0.5,0.5,0.5,1.0,3.0,True
39,-9.0,-2.5,2.0,0.26,0.36592446,10.592445999999999,0.44105434,18.105434,0.49460662,23.460662,-7.512987999999998,4.7103956668006495,4.711597289333326,2,moderate,2.0,1,145.0,248.25,1.5,145,248,1,0.0,0.25,0.5,1.0,3.0,True
40,6.5,4.5,2.0,0.38,0.07938853,30.061147,0.15877706,22.122294,0.20812022,17.187978,7.938852999999998,4.368552770304057,4.368552770304057,4,high,2.0,1,152.75,251.75,1.5,152,251,1,0.75,0.75,0.5,1.0,3.0,True
41,29.5,15.0,2.0,0.46,0.10755455,35.244545,0.09479838,36.520162,0.09491921,36.508079,-1.2756169999999956,7.866705655164682,7.866705655164682,2,moderate,2.0,1,164.25,257.0,1.5,164,257,1,0.25,0.0,0.5,1.0,3.0,True
42,53.0,26.0,2.0,0.44,0.11130642,32.869358,0.12294797,31.705202999999997,0.08354727,35.645273,1.164155,6.352867039770307,6.352867039770307,2,moderate,2.0,1,176.0,262.5,1.5,176,262,1,0.0,0.5,0.5,1.0,3.0,True
43,67.5,32.5,2.0,0.30000002,0.1573176,14.268241999999997,0.11613638,18.386364,0.12577115,17.422887,-4.118122000000001,5.800662804582563,5.800662804582563,2,moderate,2.0,1,183.25,265.75,1.5,183,265,1,0.25,0.75,0.5,1.0,3.0,True
44,83.0,39.0,2.0,0.46,0.21231887,24.768113000000003,0.29170162,16.829838000000002,0.29170162,16.829838000000002,7.938275,7.064077279624004,7.064077279624004,2,moderate,2.0,1,191.0,269.0,1.5,191,269,1,0.0,0.0,0.5,1.0,3.0,True
45,120.5,56.5,2.0,0.2,0.27860525,7.860525000000002,0.30549926,10.549926,0.25683987,5.683987000000002,-2.6894009999999966,7.371016220644202,7.371016220644202,0,low,2.0,1,209.75,277.75,1.5,209,277,1,0.75,0.75,0.5,1.0,3.0,True
46,-121.0,-56.5,2.0,0.18,0.35965863,17.965863,0.0,18.0,0.2625674,8.25674,-0.03413700000000075,0.7774980765367665,0.7774980765367673,2,moderate,2.0,1,89.0,221.25,1.5,89,221,1,0.0,0.25,0.5,1.0,3.0,True
47,-96.5,-59.5,2.0,0.2,0.00147794,19.852206,0.0022534,19.77466,0.00321626,19.678374,0.07754599999999778,0.5070107312291643,0.5070843888233374,4,high,2.0,1,101.25,219.75,1.5,101,219,1,0.25,0.75,0.5,1.0,3.0,True
48,-77.0,-59.0,2.0,0.36,0.336626,2.3374000000000006,0.33424815,2.5751849999999967,0.33424815,2.5751849999999967,-0.23778499999999592,2.8006919234360694,2.8006919234360694,2,moderate,2.0,1,111.0,220.0,1.5,111,220,1,0.0,0.0,0.5,1.0,3.0,True
49,-59.5,-51.5,2.0,0.30000002,0.26429585,3.570416999999998,0.21403905,8.596096999999997,0.21549027,8.450974999999996,-5.0256799999999995,0.4205624168535287,0.4205624168535287,2,high,2.0,1,119.75,223.75,1.5,119,223,1,0.75,0.75,0.5,1.0,3.0,True
50,-45.5,-45.0,2.0,0.26,0.02155509,23.844491,0.01233626,24.766374000000003,0.01644834,24.355166,-0.9218830000000011,0.0,0.04286678824380135,3,high,2.0,1,126.75,227.0,1.5,126,227,1,0.75,0.0,0.5,1.0,3.0,True
51,-24.5,-19.5,2.0,0.69,0.26060797,42.93920299999999,0.34450719,34.54928099999999,0.38154358,30.845641999999994,8.389922,3.7427099838020115,3.7427099838020115,2,moderate,2.0,1,137.25,239.75,1.5,137,239,1,0.25,0.75,0.5,1.0,3.0,True
52,-31.0,-23.5,2.0,0.63,0.09783202,53.216798,0.15584207,47.415793,0.16167476,46.832524,5.801004999999998,2.451019930855621,2.451019930855621,2,moderate,2.0,1,134.0,237.75,1.5,134,237,1,0.0,0.75,0.5,1.0,3.0,True
53,-24.5,-38.0,2.0,0.57,0.16324099,40.67590099999999,0.22476794,34.523205999999995,0.17073546,39.92645399999999,6.152694999999997,2.203486638690659,2.203486638690659,2,moderate,2.0,1,137.25,230.5,1.5,137,230,1,0.25,0.5,0.5,1.0,3.0,True
54,-20.0,-30.5,2.0,0.58999996,0.04225041,54.774955000000006,0.08450082,50.549913999999994,0.13124056,45.87594,4.225041000000007,3.753551852046542,3.753551852046542,4,high,2.0,1,139.5,234.25,1.5,139,234,1,0.5,0.25,0.5,1.0,3.0,True
55,-11.0,-50.0,2.0,0.38,0.29619185,8.380815000000002,0.38173095,0.1730950000000009,0.52145172,14.145171999999995,8.207720000000002,2.9132593185039584,2.913280179638917,2,moderate,2.0,1,144.0,224.5,1.5,144,224,1,0.0,0.5,0.5,1.0,3.0,True
56,38.0,5.5,2.0,0.67,0.20379514,46.62048600000001,0.24072704,42.927296000000005,0.20628151,46.371849000000005,3.6931900000000017,1.5690504903677738,1.5693212529899137,2,moderate,2.0,1,168.5,252.25,1.5,168,252,1,0.5,0.25,0.5,1.0,3.0,True
57,74.0,22.0,2.0,0.34,0.38460754,4.460754,0.38957027,4.957026999999997,0.50075442,16.075442000000002,-0.4962729999999971,5.203844076797938,5.2044472406418905,0,low,2.0,1,186.5,260.5,1.5,186,260,1,0.5,0.5,0.5,1.0,3.0,True
58,63.0,0.5,2.0,0.85,0.10843476,74.156524,0.21686952,63.313047999999995,0.19944619,65.055381,10.843476000000008,4.351271309747123,4.351296674018313,4,high,2.0,1,181.0,249.75,1.5,181,249,1,0.0,0.75,0.5,1.0,3.0,True
59,50.5,-22.5,2.0,0.42,0.13367753,28.632247,0.09518457,32.481543,0.08787585,33.21241499999999,-3.849296000000002,4.162901581904743,4.162901581904743,2,moderate,2.0,1,174.75,238.25,1.5,174,238,1,0.75,0.25,0.5,1.0,3.0,True
60,88.5,-6.0,2.0,0.73,0.39983383,33.016617,0.3909271,33.907289999999996,0.43231957,29.768043,-0.8906729999999974,8.080519289044803,8.08070074452087,0,low,2.0,1,193.75,246.5,1.5,193,246,1,0.75,0.5,0.5,1.0,3.0,True
61,31.0,0.0,2.0,0.54000004,0.01660191,52.339813,0.03264786,50.735218,0.06529572,47.470432,1.6045949999999976,1.5984745907492144,1.5984745907492144,4,high,2.0,1,165.0,249.5,1.5,165,249,1,0.0,0.5,0.5,1.0,3.0,True
62,39.5,-20.0,2.0,0.69,0.02344557,66.65544299999999,0.03608881,65.391119,0.05299509,63.70049099999999,1.2643239999999945,1.7216158869062919,1.7216158869062919,4,high,2.0,1,169.25,239.5,1.5,169,239,1,0.25,0.5,0.5,1.0,3.0,True
63,92.5,20.0,2.0,0.4,0.25829743,14.170257000000003,0.36390127,3.609873000000002,0.42552106,2.5521059999999984,10.560384,5.183777406373793,5.212937888369193,2,moderate,2.0,1,195.75,259.5,1.5,195,259,1,0.75,0.5,0.5,1.0,3.0,True
64,100.5,3.5,2.0,0.44,0.33534344,10.465656000000001,0.41898637,2.1013630000000005,0.43344954,0.655045999999998,8.364293,4.762931870248085,4.762931870248085,0,low,2.0,1,199.75,251.25,1.5,199,251,1,0.75,0.25,0.5,1.0,3.0,True
65,-83.0,-94.0,2.0,0.30000002,0.05556118,24.443884,0.11112236,18.887766,0.12432481,17.567520999999996,5.5561180000000014,1.8900973850571823,1.8900973850571823,4,high,2.0,1,108.0,202.5,1.5,108,202,1,0.0,0.5,0.5,1.0,3.0,True
66,-49.5,-78.5,2.0,0.32,0.01333601,30.666399,0.02013561,29.986438999999997,0.05396335,26.603665,0.6799600000000017,1.6818567640429325,1.6818567640429325,4,high,2.0,1,124.75,210.25,1.5,124,210,1,0.75,0.25,0.5,1.0,3.0,True
