No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
44,83.000000,39.000000,2.000000,0.46000000,0.09847539,0.00396759,2,0.09847539,0.09847539,0.09847539,0.10474533,2,0,0,37
45,120.500000,56.500000,2.000000,0.20000000,0.24997350,0.01007149,0,0.22917231,0.24997350,0.22917231,0.27518782,0,0,0,37
46,-121.000000,-56.500000,2.000000,0.18000000,0.00586332,0.00023623,4,0.02345327,0.02345327,0.20303898,0.00293166,4,1,3,37
47,-96.500000,-59.500000,2.000000,0.20000000,0.00039420,0.00001588,4,0.00447411,0.00157680,0.02098612,0.00392984,4,1,1,37
48,-77.000000,-59.000000,2.000000,0.36000000,0.00000000,0.00000000,2,0.06400339,0.00000000,0.19859162,0.09929581,2,1,1,37
49,-59.500000,-51.500000,2.000000,0.30000002,0.08966415,0.00361259,4,0.15940293,0.15940293,0.15940293,0.13758583,4,0,0,37
50,-45.500000,-45.000000,2.000000,0.26000000,0.08507453,0.00342767,4,0.11343271,0.11343271,0.11343271,0.06131282,4,0,0,37
51,-24.500000,-19.500000,2.000000,0.69000000,0.46063202,0.01855896,0,0.43403356,0.46063202,0.43403356,0.48667055,0,0,0,37
52,-31.000000,-23.500000,2.000000,0.63000000,0.29633924,0.01193957,0,0.32502239,0.29633924,0.32502239,0.25984146,0,0,0,37
53,-24.500000,-38.000000,2.000000,0.57000000,0.29446155,0.01186392,0,0.30179749,0.29446155,0.30179749,0.19805810,0,0,0,37
54,-20.000000,-30.500000,2.000000,0.58999996,0.53720174,0.02164397,0,0.52933270,0.53720174,0.52933270,0.52479383,0,0,0,37
55,-11.000000,-50.000000,2.000000,0.38000000,0.42589800,0.01715952,0,0.40427955,0.42589800,0.40427955,0.45090659,0,0,0,37
56,38.000000,5.500000,2.000000,0.67000000,0.21548120,0.00868178,2,0.19990115,0.28730826,0.19990115,0.27235318,2,0,0,37
57,74.000000,22.000000,2.000000,0.34000000,0.33993718,0.01369614,0,0.25332585,0.33993718,0.25332585,0.43528156,0,0,0,37
58,63.000000,0.500000,2.000000,0.85000000,0.00000000,0.00000000,4,0.16742463,0.00000000,0.27765986,0.13855618,4,1,1,37
59,50.500000,-22.500000,2.000000,0.42000000,0.35921818,0.01447298,0,0.37596148,0.35921818,0.37596148,0.34412396,0,0,0,37
60,88.500000,-6.000000,2.000000,0.73000000,0.34260079,0.01380346,0,0.34561871,0.34260079,0.34561871,0.36089523,0,0,0,37
61,31.000000,0.000000,2.000000,0.54000004,0.03458344,0.00139337,4,0.06916688,0.06916688,0.11372630,0.03880248,4,1,1,37
