group,n,raw_mae_pp,z_plus_half_mae_pp,vertical_valid_above_mae_pp,mean_wall_distance_m,mean_footprint_distance_m,mean_solid_neighbors
low,47,12.434702510638298,12.692841106382978,13.024289957446808,5.8431595538819945,5.8424841183132195,0.0
moderate,19,32.64389094736842,27.05362163157895,21.863484315789474,4.310882163123412,4.310647579392759,2.0
high,14,34.5891215,27.877167928571428,18.26469507142857,3.034439134790407,3.021412450001436,3.857142857142857
all,80,21.1114080875,18.760783675,16.0406695125,4.987717600235803,4.984985398365048,1.15
