solid_corner_neighbors_max,n,mae_pp,rmse_pp,bias_pp,r2,pearson
0,47,12.434702829787232,15.381984135117133,-5.378619425531916,-0.2810391422898797,0.3225991736103837
2,20,31.924976450000003,37.814120063559436,-29.698003949999997,-2.7462539657347276,-0.1355037016694693
4,13,35.844775999999996,40.91063484527469,-35.844775999999996,-4.513467844176351,-0.25446531577000586
