library_dir,library_dir_exists,path,found,sha256,matches_tracked_gha,size_bytes,mtime_utc
C:\Users\miaoshiyu\AppData\Roaming\Grasshopper\Libraries,True,C:\Users\miaoshiyu\AppData\Roaming\Grasshopper\Libraries\CityLBM.gha,True,84cf1e133d3438ab5cfec2bc707f89a382a34e4a7c230ce3f27951db1b60a87e,True,1838080,2026-08-13T10:36:19.017537+00:00
C:\Users\miaoshiyu\AppData\Roaming\McNeel\Rhinoceros\8.0\Plug-ins\Grasshopper\Libraries,False,,False,,False,,
C:\Users\miaoshiyu\AppData\Roaming\McNeel\Rhinoceros\7.0\Plug-ins\Grasshopper\Libraries,False,,False,,False,,
C:\Users\miaoshiyu\AppData\Roaming\McNeel\Rhinoceros\6.0\Plug-ins\Grasshopper\Libraries,False,,False,,False,,
C:\Users\miaoshiyu\AppData\Local\McNeel\Rhinoceros\8.0\Plug-ins\Grasshopper\Libraries,False,,False,,False,,
