case_id,passed,claim_readiness,run_id,manifest_path_length,cleanup_done
default_off_baseline,True,codegen_smoke_passed; no_solver_run,casee_native_dx4_yn_sgs_gshift1_zoff2_nu0p001_pmodes_steps10_spin0,157,True
inlet_afk_nosgs,True,codegen_smoke_passed; no_solver_run,casee_native_dx4_yn_nosgs_gshift1_zoff2_nu0p001_dom1x1x1_inlet_afkfp_s2_pmodes_steps10_spin0,183,True
wall_voxel_dilation,True,codegen_smoke_passed; no_solver_run,casee_native_dx4_yn_sgs_gshift1_zoff2_nu0p001_dom1x1x1_wall_vd_dil1_damp0_pmodes_steps10_spin0,185,True
c016_residual_channel_response,True,codegen_smoke_passed; no_solver_run,casee_native_dx4_yn_nosgs_gshift1_zoff2_nu0p001_dom1x1x1_inlet_afkfp_s2_rt_c014_s1_pmodes_steps10_spin0,194,True
