group,n,raw_mae_pp,z_plus_half_mae_pp,vertical_valid_above_mae_pp,mean_wall_distance_m,mean_footprint_distance_m,mean_solid_neighbors
low,25,12.931660919999999,13.063638599999999,13.481645680000002,6.9404013714993695,6.940358639317944,0.0
moderate,36,27.161721305555556,23.31603786111111,24.15159166666667,4.842411620145725,4.84142041387941,2.0277777777777777
high,19,32.45442189473684,27.967443789473684,26.420739210526314,2.693713442428102,2.6841437361366554,3.736842105263158
all,80,23.971843825,21.216872000000002,21.3561560875,4.987717600235803,4.984985398365048,1.8
