No.,x_m,y_m,z_m,official_velocity_ratio,predicted_velocity_ratio,speed_lbm,solid_corner_neighbors_max,nearest_valid_velocity_ratio,fluid_weighted_velocity_ratio,vertical_valid_above_velocity_ratio,z_plus_half_velocity_ratio,fluid_weighted_solid_neighbors_max,nearest_valid_search_radius_max,vertical_valid_above_dz_max,samples
44,83.000000,39.000000,2.000000,0.46000000,0.09981608,0.00402161,2,0.19963216,0.19963216,0.19963216,0.19963216,2,0,0,19
45,120.500000,56.500000,2.000000,0.20000000,0.24081503,0.00970249,0,0.19246032,0.24081503,0.19246032,0.24862074,0,0,0,19
46,-121.000000,-56.500000,2.000000,0.18000000,0.35701360,0.01438415,2,0.70683213,0.71402720,0.25644597,0.00000000,2,1,3,19
47,-96.500000,-59.500000,2.000000,0.20000000,0.00126183,0.00005084,4,0.00319167,0.00168244,0.00319167,0.00222125,4,0,0,19
48,-77.000000,-59.000000,2.000000,0.36000000,0.34199702,0.01377913,2,0.34828946,0.34199702,0.34828946,0.34828946,2,0,0,19
49,-59.500000,-51.500000,2.000000,0.30000002,0.26360718,0.01062079,2,0.21068314,0.32443961,0.21068314,0.21308818,2,0,0,19
50,-45.500000,-45.000000,2.000000,0.26000000,0.02126328,0.00085670,3,0.01628412,0.02430089,0.01628412,0.01221309,3,0,0,19
51,-24.500000,-19.500000,2.000000,0.69000000,0.23081927,0.00929976,2,0.32296175,0.26379345,0.32296175,0.28363180,2,0,0,19
52,-31.000000,-23.500000,2.000000,0.63000000,0.09310074,0.00375105,2,0.14735233,0.14896118,0.14735233,0.14532274,2,0,0,19
53,-24.500000,-38.000000,2.000000,0.57000000,0.16492272,0.00664477,2,0.17513869,0.21989697,0.17513869,0.23056706,2,0,0,19
54,-20.000000,-30.500000,2.000000,0.58999996,0.05420998,0.00218413,4,0.15152200,0.10841996,0.15152200,0.10841996,4,0,0,19
55,-11.000000,-50.000000,2.000000,0.38000000,0.27837260,0.01121569,2,0.49563023,0.37116347,0.49563023,0.35456558,2,0,0,19
56,38.000000,5.500000,2.000000,0.67000000,0.46994242,0.01893408,0,0.36866515,0.46994242,0.36866515,0.44365501,0,0,0,19
