No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
72,bc,NNE,82,-17.5,2,0.42
73,bc,NNE,98.5,-9.5,2,0.28
74,bc,NNE,56.5,-54.5,2,0.24
75,bc,NNE,109,-17.5,2,0.36
76,bc,NNE,116,-30.5,2,0.4
77,bc,NNE,5,-94,2,0.4
78,bc,NNE,45.5,-86.5,2,0.42
79,bc,NNE,81.5,-69.5,2,0.44
80,bc,NNE,125,-49.5,2,0.4
1,bc,NE,-27,112,2,0.24
2,bc,NE,-93,33,2,0.46
3,bc,NE,-88,35,2,0.24
4,bc,NE,-74,40,2,0.28
5,bc,NE,-61,45.5,2,0.54
6,bc,NE,-50.5,49.5,2,0.4
7,bc,NE,-33.5,57.5,2,0.32
8,bc,NE,-9.5,69,2,0.22
9,bc,NE,7,76.5,2,0.28
10,bc,NE,45,94,2,0.26
11,bc,NE,80.5,110,2,0.54
12,bc,NE,-133,21,2,0.46
13,bc,NE,-97,19,2,0.38
14,bc,NE,-84,22.5,2,0.42
15,bc,NE,-65.5,29.5,2,0.61
16,bc,NE,-47.5,36.5,2,0.57
17,bc,NE,-25,47,2,0.34
18,bc,NE,-5,56,2,0.28
19,bc,NE,13.5,64.5,2,0.55
20,bc,NE,50,81.5,2,0.34
21,bc,NE,87,97.5,2,0.5
22,bc,NE,-114.5,-8,2,0.44
23,bc,NE,-90.5,8,2,0.22
24,bc,NE,-56,33,2,0.65
25,bc,NE,-51,22,2,0.36
26,bc,NE,-46.5,11,2,0.24
27,bc,NE,-39,16,2,0.22
28,bc,NE,-39.5,-4,2,0.2
29,bc,NE,-32,0,2,0.26
30,bc,NE,-39,-11,2,0.18
31,bc,NE,6.5,52,2,0.36
32,bc,NE,65.5,74.5,2,0.24
33,bc,NE,73.5,56.5,2,0.24
34,bc,NE,-117.5,-32,2,0.4
35,bc,NE,-86.5,-35.5,2,0.36
36,bc,NE,-75,-31.5,2,0.48
37,bc,NE,-55.5,-23,2,0.24
38,bc,NE,-26,-10,2,0.4
39,bc,NE,-9,-2.5,2,0.5
40,bc,NE,6.5,4.5,2,0.57
41,bc,NE,29.5,15,2,0.46
42,bc,NE,53,26,2,0.48
43,bc,NE,67.5,32.5,2,0.44
44,bc,NE,83,39,2,0.4
45,bc,NE,120.5,56.5,2,0.2
46,bc,NE,-121,-56.5,2,0.24
47,bc,NE,-96.5,-59.5,2,0.44
48,bc,NE,-77,-59,2,0.26
49,bc,NE,-59.5,-51.5,2,0.36
50,bc,NE,-45.5,-45,2,0.12
51,bc,NE,-24.5,-19.5,2,0.14
52,bc,NE,-31,-23.5,2,0.24
53,bc,NE,-24.5,-38,2,0.26
54,bc,NE,-20,-30.5,2,0.18
55,bc,NE,-11,-50,2,0.18
56,bc,NE,38,5.5,2,0.46
57,bc,NE,74,22,2,0.5
58,bc,NE,63,0.5,2,0.55
59,bc,NE,50.5,-22.5,2,0.46
60,bc,NE,88.5,-6,2,0.22
61,bc,NE,31,0,2,0.32
62,bc,NE,39.5,-20,2,0.38
63,bc,NE,92.5,20,2,0.3
64,bc,NE,100.5,3.5,2,0.18
65,bc,NE,-83,-94,2,0.4
66,bc,NE,-49.5,-78.5,2,0.28
67,bc,NE,-10,-59.5,2,0.34
68,bc,NE,1,-54,2,0.38
69,bc,NE,26,-43,2,0.34
70,bc,NE,46.5,-33.5,2,0.63
71,bc,NE,66.5,-24.5,2,0.38
72,bc,NE,82,-17.5,2,0.3
73,bc,NE,98.5,-9.5,2,0.2
74,bc,NE,56.5,-54.5,2,0.2
75,bc,NE,109,-17.5,2,0.2
76,bc,NE,116,-30.5,2,0.22
77,bc,NE,5,-94,2,0.42
78,bc,NE,45.5,-86.5,2,0.36
79,bc,NE,81.5,-69.5,2,0.38
80,bc,NE,125,-49.5,2,0.44
1,bc,ENE,-27,112,2,0.28
2,bc,ENE,-93,33,2,0.44
3,bc,ENE,-88,35,2,0.24
4,bc,ENE,-74,40,2,0.22
5,bc,ENE,-61,45.5,2,0.32
6,bc,ENE,-50.5,49.5,2,0.36
7,bc,ENE,-33.5,57.5,2,0.34
8,bc,ENE,-9.5,69,2,0.34
9,bc,ENE,7,76.5,2,0.32
10,bc,ENE,45,94,2,0.34
11,bc,ENE,80.5,110,2,0.48
12,bc,ENE,-133,21,2,0.48
13,bc,ENE,-97,19,2,0.44
14,bc,ENE,-84,22.5,2,0.4
15,bc,ENE,-65.5,29.5,2,0.46
16,bc,ENE,-47.5,36.5,2,0.46
17,bc,ENE,-25,47,2,0.4
18,bc,ENE,-5,56,2,0.24
19,bc,ENE,13.5,64.5,2,0.44
20,bc,ENE,50,81.5,2,0.34
21,bc,ENE,87,97.5,2,0.44
22,bc,ENE,-114.5,-8,2,0.34
23,bc,ENE,-90.5,8,2,0.18
24,bc,ENE,-56,33,2,0.4
25,bc,ENE,-51,22,2,0.24
26,bc,ENE,-46.5,11,2,0.18
27,bc,ENE,-39,16,2,0.12
28,bc,ENE,-39.5,-4,2,0.2
29,bc,ENE,-32,0,2,0.12
30,bc,ENE,-39,-11,2,0.28
31,bc,ENE,6.5,52,2,0.26
32,bc,ENE,65.5,74.5,2,0.18
33,bc,ENE,73.5,56.5,2,0.24
34,bc,ENE,-117.5,-32,2,0.38
35,bc,ENE,-86.5,-35.5,2,0.34
36,bc,ENE,-75,-31.5,2,0.44
37,bc,ENE,-55.5,-23,2,0.24
38,bc,ENE,-26,-10,2,0.46
39,bc,ENE,-9,-2.5,2,0.48
40,bc,ENE,6.5,4.5,2,0.55
41,bc,ENE,29.5,15,2,0.48
42,bc,ENE,53,26,2,0.42
43,bc,ENE,67.5,32.5,2,0.32
44,bc,ENE,83,39,2,0.38
45,bc,ENE,120.5,56.5,2,0.2
46,bc,ENE,-121,-56.5,2,0.28
47,bc,ENE,-96.5,-59.5,2,0.46
48,bc,ENE,-77,-59,2,0.24
49,bc,ENE,-59.5,-51.5,2,0.3
50,bc,ENE,-45.5,-45,2,0.12
51,bc,ENE,-24.5,-19.5,2,0.16
52,bc,ENE,-31,-23.5,2,0.24
53,bc,ENE,-24.5,-38,2,0.36
54,bc,ENE,-20,-30.5,2,0.24
55,bc,ENE,-11,-50,2,0.2
56,bc,ENE,38,5.5,2,0.42
57,bc,ENE,74,22,2,0.42
58,bc,ENE,63,0.5,2,0.4
59,bc,ENE,50.5,-22.5,2,0.38
60,bc,ENE,88.5,-6,2,0.28
61,bc,ENE,31,0,2,0.32
62,bc,ENE,39.5,-20,2,0.3
63,bc,ENE,92.5,20,2,0.22
64,bc,ENE,100.5,3.5,2,0.28
65,bc,ENE,-83,-94,2,0.4
66,bc,ENE,-49.5,-78.5,2,0.22
67,bc,ENE,-10,-59.5,2,0.26
68,bc,ENE,1,-54,2,0.28
69,bc,ENE,26,-43,2,0.4
70,bc,ENE,46.5,-33.5,2,0.55
71,bc,ENE,66.5,-24.5,2,0.36
72,bc,ENE,82,-17.5,2,0.32
73,bc,ENE,98.5,-9.5,2,0.36
74,bc,ENE,56.5,-54.5,2,0.14
75,bc,ENE,109,-17.5,2,0.26
76,bc,ENE,116,-30.5,2,0.36
77,bc,ENE,5,-94,2,0.28
78,bc,ENE,45.5,-86.5,2,0.36
79,bc,ENE,81.5,-69.5,2,0.34
80,bc,ENE,125,-49.5,2,0.4
1,bc,E,-27,112,2,0.24
2,bc,E,-93,33,2,0.54
3,bc,E,-88,35,2,0.36
4,bc,E,-74,40,2,0.3
5,bc,E,-61,45.5,2,0.3
6,bc,E,-50.5,49.5,2,0.42
7,bc,E,-33.5,57.5,2,0.4
8,bc,E,-9.5,69,2,0.42
9,bc,E,7,76.5,2,0.36
10,bc,E,45,94,2,0.36
11,bc,E,80.5,110,2,0.44
12,bc,E,-133,21,2,0.52
13,bc,E,-97,19,2,0.44
14,bc,E,-84,22.5,2,0.38
15,bc,E,-65.5,29.5,2,0.36
16,bc,E,-47.5,36.5,2,0.36
17,bc,E,-25,47,2,0.48
18,bc,E,-5,56,2,0.24
19,bc,E,13.5,64.5,2,0.42
20,bc,E,50,81.5,2,0.36
21,bc,E,87,97.5,2,0.32
22,bc,E,-114.5,-8,2,0.3
23,bc,E,-90.5,8,2,0.18
24,bc,E,-56,33,2,0.3
25,bc,E,-51,22,2,0.18
26,bc,E,-46.5,11,2,0.22
27,bc,E,-39,16,2,0.16
28,bc,E,-39.5,-4,2,0.32
29,bc,E,-32,0,2,0.16
30,bc,E,-39,-11,2,0.28
31,bc,E,6.5,52,2,0.3
32,bc,E,65.5,74.5,2,0.24
33,bc,E,73.5,56.5,2,0.22
34,bc,E,-117.5,-32,2,0.38
35,bc,E,-86.5,-35.5,2,0.38
36,bc,E,-75,-31.5,2,0.36
37,bc,E,-55.5,-23,2,0.18
38,bc,E,-26,-10,2,0.38
39,bc,E,-9,-2.5,2,0.5
40,bc,E,6.5,4.5,2,0.5
41,bc,E,29.5,15,2,0.52
42,bc,E,53,26,2,0.4
43,bc,E,67.5,32.5,2,0.3
44,bc,E,83,39,2,0.34
45,bc,E,120.5,56.5,2,0.18
46,bc,E,-121,-56.5,2,0.2
47,bc,E,-96.5,-59.5,2,0.48
48,bc,E,-77,-59,2,0.3
49,bc,E,-59.5,-51.5,2,0.2
50,bc,E,-45.5,-45,2,0.18
51,bc,E,-24.5,-19.5,2,0.28
52,bc,E,-31,-23.5,2,0.46
53,bc,E,-24.5,-38,2,0.48
54,bc,E,-20,-30.5,2,0.34
55,bc,E,-11,-50,2,0.26
56,bc,E,38,5.5,2,0.44
57,bc,E,74,22,2,0.28
58,bc,E,63,0.5,2,0.38
59,bc,E,50.5,-22.5,2,0.3
60,bc,E,88.5,-6,2,0.26
61,bc,E,31,0,2,0.36
62,bc,E,39.5,-20,2,0.24
63,bc,E,92.5,20,2,0.2
64,bc,E,100.5,3.5,2,0.24
65,bc,E,-83,-94,2,0.46
66,bc,E,-49.5,-78.5,2,0.26
67,bc,E,-10,-59.5,2,0.4
68,bc,E,1,-54,2,0.18
69,bc,E,26,-43,2,0.34
70,bc,E,46.5,-33.5,2,0.42
71,bc,E,66.5,-24.5,2,0.26
72,bc,E,82,-17.5,2,0.22
73,bc,E,98.5,-9.5,2,0.4
74,bc,E,56.5,-54.5,2,0.12
75,bc,E,109,-17.5,2,0.32
76,bc,E,116,-30.5,2,0.44
77,bc,E,5,-94,2,0.3
78,bc,E,45.5,-86.5,2,0.4
79,bc,E,81.5,-69.5,2,0.24
80,bc,E,125,-49.5,2,0.32
1,bc,ESE,-27,112,2,0.26
2,bc,ESE,-93,33,2,0.61
3,bc,ESE,-88,35,2,0.48
4,bc,ESE,-74,40,2,0.38
5,bc,ESE,-61,45.5,2,0.26
6,bc,ESE,-50.5,49.5,2,0.46
7,bc,ESE,-33.5,57.5,2,0.44
8,bc,ESE,-9.5,69,2,0.38
9,bc,ESE,7,76.5,2,0.36
10,bc,ESE,45,94,2,0.36
11,bc,ESE,80.5,110,2,0.18
12,bc,ESE,-133,21,2,0.55
13,bc,ESE,-97,19,2,0.34
14,bc,ESE,-84,22.5,2,0.52
15,bc,ESE,-65.5,29.5,2,0.5
16,bc,ESE,-47.5,36.5,2,0.28
17,bc,ESE,-25,47,2,0.44
18,bc,ESE,-5,56,2,0.22
19,bc,ESE,13.5,64.5,2,0.32
20,bc,ESE,50,81.5,2,0.26
21,bc,ESE,87,97.5,2,0.16
22,bc,ESE,-114.5,-8,2,0.26
23,bc,ESE,-90.5,8,2,0.24
24,bc,ESE,-56,33,2,0.46
25,bc,ESE,-51,22,2,0.34
26,bc,ESE,-46.5,11,2,0.34
27,bc,ESE,-39,16,2,0.3
28,bc,ESE,-39.5,-4,2,0.4
29,bc,ESE,-32,0,2,0.22
30,bc,ESE,-39,-11,2,0.36
31,bc,ESE,6.5,52,2,0.34
32,bc,ESE,65.5,74.5,2,0.44
33,bc,ESE,73.5,56.5,2,0.36
34,bc,ESE,-117.5,-32,2,0.22
35,bc,ESE,-86.5,-35.5,2,0.24
36,bc,ESE,-75,-31.5,2,0.34
37,bc,ESE,-55.5,-23,2,0.16
38,bc,ESE,-26,-10,2,0.32
39,bc,ESE,-9,-2.5,2,0.4
40,bc,ESE,6.5,4.5,2,0.42
