z(m),U(m/s),k(m2/s2)
1.25,2.847,0.487
2.5,3.042,0.548
5,3.26,0.548
7.5,3.409,0.548
12.5,3.767,0.608
25,4.36,0.608
50,5.109,0.548
75,5.694,0.487
100,6.162,0.426
150,6.965,0.365
200,7.394,0.243
250,7.8,0.122
